accession,gather_ref_f_weighted,ref_f_weighted,f_mapped_reads,biome1,biome2,biome3,total_mapped_reads,total_n_reads,n_matches
DRR014782,0.868853428580935,0.949540674448318,0.90519318966766,Host-associated,Mammals,Respiratory system,75612507,83531900,12389
DRR014785,0.8634828949789467,0.9469769689286416,0.904627557109024,Host-associated,Mammals,Respiratory system,83163638,91931356,13328
DRR121397,0.1534667218901313,0.6485763826994442,0.3712305967879825,Host-associated,Plants,Root,2121643,5715162,17436
DRR121401,0.1078621477383109,0.6016574204546574,0.2883946763698811,Host-associated,Plants,Root,1311236,4546672,16482
ERR10695318,0.7486435602595525,0.877064262586372,0.8592686029616736,Engineered,Food production,Dairy products,123175020,143348680,13000
ERR1414265,0.2244333194303926,0.6076789591228493,0.3172245440059131,Engineered,Wastewater,Industrial wastewater,20065130,63252136,32479
ERR1414271,0.4961115826581905,0.7393847912295014,0.6174339168744721,Engineered,Wastewater,Industrial wastewater,52839024,85578428,40212
ERR1869526,0.3547388734698665,0.3680174656957262,0.3782286910801206,Engineered,Food production,Fermented vegetables,30986940,81926466,8084
ERR1869527,0.6351863645882112,0.6693439255757959,0.6945561121852296,Engineered,Food production,Fermented vegetables,65905139,94888142,9813
ERR1877479,0.9247323716272952,0.9733713200379868,0.9497201736434012,Engineered,Modeled,Simulated communities (microbial mixture),32277602,33986434,1885
ERR1877482,0.9546234346741134,0.9807502877962522,0.9739344389307256,Engineered,Modeled,Simulated communities (microbial mixture),30823007,31647928,1816
ERR2094168,0.2575026916709991,0.5616558655577504,0.3683967967977672,Environmental,Aquatic,Aquaculture,26448645,71793906,49523
ERR2094174,0.4127048828433829,0.6105719712744669,0.5366350395553323,Environmental,Aquatic,Aquaculture,39749460,74071682,23296
ERR2094175,0.2382399501095136,0.4728731064367428,0.319721722764606,Environmental,Aquatic,Aquaculture,24155246,75550844,36597
ERR2114805,0.2745685899440874,0.5875478004923891,0.4525451544916702,Host-associated,Plants,Phylloplane,8906686,19681320,23586
ERR2135457,0.7496481709186431,0.8898904269703629,0.8684508189024358,Engineered,Food production,Fermented beverages,157296772,181123408,32966
ERR2200468,0.2590190794409113,0.6708588458715905,0.3559569966751345,Host-associated,Mammals,Digestive system,9872987,27736460,24587
ERR2241845,0.461689622336341,0.7036002362506844,0.6606284748406549,Host-associated,Animal,Digestive system,46458095,70324088,50833
ERR2607414,0.5152050618222574,0.7705524949213652,0.6783544133632582,Engineered,Wastewater,Water and sludge,60957416,89860720,49703
ERR2607491,0.4738269756748219,0.7459833346246769,0.6344586259796283,Engineered,Wastewater,Water and sludge,12615621,19884072,26562
ERR2683635,0.3556674585236442,0.6586135643115942,0.4976379130382991,Environmental,Aquatic,Non-marine Saline and Alkaline,18114238,36400438,12111
ERR2683639,0.3191784206870736,0.6394068748595821,0.5572433345599305,Environmental,Aquatic,Non-marine Saline and Alkaline,666307,1195720,2805
ERR2750365,0.7849618836606699,0.939026349614396,0.8881169937291903,Host-associated,Human,Digestive system,2044813,2302414,445
ERR2848508,0.1663584635666627,0.4905952805869522,0.3340472669341073,Environmental,Aquatic,Freshwater,16140413,48317752,39763
ERR2889251,0.4681032346210113,0.7464993587501457,0.6340378357738462,Host-associated,Animal,Digestive system,17086413,26948570,19968
ERR3155587,0.020314430993033,0.5573401770523948,0.1587137174124972,Engineered,Solid waste,Composting,242253,1526352,7088
ERR3155596,0.0127300815539553,0.4752575903283418,0.0801706978023225,Engineered,Solid waste,Composting,127110,1585492,7604
ERR3155597,0.0121824311681141,0.4670072501453088,0.0763385713015647,Engineered,Solid waste,Composting,109908,1439744,7125
ERR3273281,0.7865929749873258,0.939177777090358,0.9471755920017528,Host-associated,Human,Skin,12217169,12898526,2666
ERR3890099,0.0100763809376102,0.4427819145367948,0.0412064426227058,Environmental,Terrestrial,Soil,1224116,29706908,32556
ERR4398707,0.7079219917818115,0.8772555205792268,0.8092695653072643,Host-associated,Animal,Digestive system,56063342,69276474,18128
ERR575692,0.8138372883925312,0.9781117898731828,0.8745383055240644,Engineered,Modeled,Simulated communities (microbial mixture),22662595,25913782,1039
ERR5866866,0.015667884625091,0.4862633758133032,0.094137938543909,Environmental,Terrestrial,Soil,3363098,35725214,48402
ERR5866883,0.0194054337503543,0.4322401170490101,0.1002051302764786,Environmental,Terrestrial,Soil,2778560,27728720,38537
ERR5954451,0.196115579307927,0.5210424158825558,0.3795141172039853,Environmental,Aquatic,Freshwater,29503577,77740394,38567
ERR738544,0.3369327409435018,0.5756583574444326,0.6629808651296378,Engineered,Modeled,Simulated communities (sequence read mixture),38335764,57823334,34278
ERR738545,0.3307535289595824,0.5717285501216736,0.6614319390405745,Engineered,Modeled,Simulated communities (sequence read mixture),37874540,57261432,34461
ERR738546,0.3359261130901111,0.5749655184157202,0.663050135570695,Engineered,Modeled,Simulated communities (sequence read mixture),38897079,58663858,34721
ERR9456921,0.169721407624633,0.5431506849315069,0.3508261343621571,Environmental,Aquatic,Non-marine Saline and Alkaline,41829,119230,271
SRR1023996,0.5399950562721281,0.5661323557401875,0.7546533109830476,Engineered,Bioreactor,Continuous culture,1957459,2593852,9873
SRR1024014,0.2347928298560091,0.4151912235258266,0.4833978782499141,Engineered,Bioreactor,Continuous culture,270115,558784,7161
SRR10527384,0.7300968140618781,0.901534136631356,0.9057168971914248,Host-associated,Plants,Phylloplane,58826903,64950652,14702
SRR10810037,0.8869556462146804,0.929508947254593,0.9247927837407484,Host-associated,Insecta,Digestive system,85265497,92199570,5318
SRR11267050,0.8123198999747321,0.9058604269586774,0.910523692162517,Host-associated,Insecta,Digestive system,105699769,116086786,17310
SRR11267079,0.7757941206844601,0.8827389117512574,0.9282195163003252,Host-associated,Insecta,Digestive system,77979703,84009980,9469
SRR12456173,0.7867217729600939,0.8923267417320337,0.8275599559227608,Host-associated,Fish,Digestive system,52495521,63434100,13804
SRR12479795,0.2791624112176828,0.5721260541500222,0.4224434075375501,Environmental,Aquatic,Marine,5999570,14202068,14790
SRR12480094,0.3520683734941936,0.588523765316174,0.5065634335441916,Environmental,Aquatic,Marine,19291977,38084030,28342
SRR12908323,0.9409737129907088,0.9714422727979678,0.990118631828618,Engineered,Lab enrichment,Defined media,29018884,29308492,4331
SRR12908327,0.8824680676949492,0.9379932325191782,0.965152094225422,Engineered,Lab enrichment,Defined media,26485642,27441936,7478
SRR15604576,0.9072340723657216,0.9729310170066678,0.9467204914073052,Host-associated,Mammals,Gastrointestinal tract,66172197,69896234,7932
SRR1702229,0.2358980715553937,0.6524747717443536,0.445197657224874,Engineered,Wastewater,Industrial wastewater,5091893,11437376,17805
SRR17255031,0.1216949951749026,0.6525485296122718,0.2688762823792313,Host-associated,Plants,Rhizosphere,10489102,39010886,35657
SRR17257160,0.8527559249829195,0.9245533251283792,0.9259652514322284,Host-associated,Mammals,Gastrointestinal tract,80004670,86401374,19437
SRR1873849,0.9655801966128668,0.9727646225280064,0.9840936012543696,Engineered,Food production,Dairy products,37904843,38517518,2478
SRR1916815,0.1766686065056708,0.4290704812627147,0.2511652187444705,Engineered,Lab enrichment,Defined media,29814289,118703892,27210
SRR19759452,0.857931858003801,0.9421618260598368,0.9115405342744214,Host-associated,Mammals,Gastrointestinal tract,35337732,38767044,9078
SRR2107175,0.2924331991474666,0.7127426794993565,0.5130430742401636,Engineered,Wastewater,Activated Sludge,12212582,23804204,17905
SRR2107179,0.5408895221142074,0.7518982782220301,0.643826342366073,Engineered,Wastewater,Activated Sludge,13933888,21642308,18869
SRR2753158,0.4334058422419982,0.612617479192892,0.6242832251554866,Engineered,Food production,Fermented vegetables,11362127,18200276,15649
SRR3183878,0.4782574280066569,0.7610816967308994,0.4639566908444757,Host-associated,Human,Skin,5306114,11436658,2918
SRR3211795,0.6030617366571857,0.7426194748001957,0.9326408892967004,Environmental,Aquatic,Thermal springs,248006,265918,1299
SRR3719568,0.5910725030763047,0.7783848284039655,0.7359628806120525,Environmental,Aquatic,Marine,57397486,77989648,35717
SRR3961740,0.7797609323676432,0.8334411514241125,0.8394610753648472,Environmental,Aquatic,Thermal springs,18408233,21928632,9584
SRR4069403,0.0375337998778836,0.3857959325770982,0.0789880609896432,Environmental,Aquatic,Sediment,285545,3615040,5466
SRR4305336,0.8116849397846361,0.8621688536766526,0.9265291395363118,Host-associated,Human,Digestive system,7906529,8533492,3550
SRR490744,0.7764052180383143,0.6459478082651637,0.8713756555467098,Engineered,Bioreactor,Continuous culture,1676830,1924348,4144
SRR5248299,0.8104162997120429,0.8980117874170055,0.9178925670845666,Environmental,Aquatic,Thermal springs,38367432,41799480,2846
SRR5438753,0.8159593417877885,0.9139810550871572,0.883405716737162,Engineered,Food production,Fermented beverages,62072667,70265186,13621
SRR5574507,0.8132338645803634,0.92008724646806,0.880231047989755,Host-associated,Mammals,Digestive system,20609434,23413664,9325
SRR5808811,0.0145812359554646,0.4229985917838918,0.0551648668962475,Environmental,Aquatic,Estuary,1121042,20321666,38818
SRR5808830,0.0215493177326766,0.4539315196094176,0.0649868930668116,Environmental,Aquatic,Estuary,616801,9491160,22520
SRR5924454,0.4625684925154056,0.7571386086063153,0.7962701827860142,Engineered,Wastewater,Activated Sludge,42181502,52973856,10502
SRR6323523,0.7844548573174221,0.9290960604339646,0.8758545672603296,Host-associated,Birds,Digestive system,22271039,25427782,5253
SRR6490004,0.5600540176915758,0.6979252627986053,0.6944104675859598,Host-associated,Microbial,Bacteria,35542379,51183530,14626
SRR6490006,0.5567911349285708,0.7062715923008025,0.6835216823237363,Host-associated,Microbial,Bacteria,20145399,29472948,14063
SRR6714105,0.7702113714473451,0.9226194458692952,0.89192486316996,Host-associated,Human,Digestive system,33130863,37145352,8993
SRR6765262,0.4057793539973461,0.7015424885481911,0.7629111968568675,Host-associated,Birds,Digestive system,1518088,1989862,6564
SRR7299214,0.2897062042323917,0.5668500090971434,0.4030796822654816,Engineered,Solid waste,Landfill,6705137,16634768,26105
SRR7610133,0.2896299966172027,0.5262950772753291,0.5102709894466013,Host-associated,Fish,Digestive system,3058996,5994846,14140
SRR9109404,0.6123348133271594,0.7562334064984069,0.6469121023529161,Host-associated,Fish,Digestive system,25075735,38762198,20680
SRR9182859,,0.6445126841944301,0.6440151669591628,Host-associated,Invertebrates,Cnidaria,104629074,162463680,52569
SRR975540,0.4254577549907519,0.4781146877529419,0.5573218430286733,Engineered,Lab Synthesis,Genetic cross,2349388,4215496,2097
